State,House Value,Rent
Pennsylvania,187500,958
California,538500,1586
West Virginia,123200,732
Utah,305400,1090
New York,325000,1315
District of Columbia,618100,1607
Alaska,275600,1240
Florida,232000,1218
South Carolina,170100,918
North Dakota,199900,828
Maine,198000,873
Georgia,190200,1042
Alabama,149600,811
New Hampshire,272300,1145
Oregon,336700,1173
Wyoming,228000,853
Arizona,242000,1097
Louisiana,168100,876
Indiana,148900,844
Idaho,235600,887
Connecticut,279700,1201
Hawaii,636400,1651
Illinois,202100,1038
Massachusetts,398800,1336
Texas,187200,1082
Montana,244900,836
Nebraska,164000,857
Ohio,151400,825
Colorado,369900,1335
New Jersey,343500,1368
Maryland,325400,1415
Virginia,282800,1257
Vermont,230900,999
North Carolina,182100,932
Arkansas,133600,760
Washington,366800,1337
Kansas,157600,863
Oklahoma,142400,818
Wisconsin,189200,872
Mississippi,125500,789
Missouri,163600,843
Michigan,162600,892
Rhode Island,276600,1031
Minnesota,235700,1010
Iowa,153900,806
New Mexico,175700,857
Nevada,290200,1159
Delaware,258300,1150
Puerto Rico,111200,486
Kentucky,147100,783
South Dakota,174600,761
Tennessee,177600,897
